Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
"42 U.S.C. § 5170, 5192, 5123, 5187, 5173, 5172, 5174, 5177, 5179, 5180, 5182, 5183, 5184, 5185, 5186, 5189, 5193, 5192, 5191, 5162, 5143, 5122, 4170, 5123",The Public Health And Welfare,This code concerns public health and welfare. The major players include the HHS in providing social services and protecting civil rights. It is invoked during health emergencies and to support welfare programs.,USC Title 42,"Environmental Protection Agency,Department of Homeland Security,Federal Emergency Management Agency,Executive Office of the President of the United States,Department of Health and Human Services","Health Emergency,Natural Disaster,No triggering event - Capacity Building",The HHS can declare public health emergencies under this code to mobilize resources.,No,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,3,7/1/1944,12/13/2016,USCODE-2011-title42.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Xas_H-u_3T3JiBJFC2AS6g/0lV539Ylph0hoe18KuT-RtGoYQP0Ythjed_wN1C1m4hdIuUO5rShxyyc5KkcFxgNB_QacVsEb7yB17rXcIMrJdZKt00SDzNd0TJlxG8TdVmPzBuGoG4OOdG8LKy2dp5EVhR5mTzKdjVJRhKS9A7x3N9mJNwhA-jheKZ4IYdOqTg/qxfkADQD9FRtS_VRx62UJC5Fi6XwClqzZuaDEhISaSE),,https://www.govinfo.gov/content/pkg/USCODE-2016-title42/pdf/USCODE-2016-title42.pdf,,,,,,
44 C.F.R. § 206.48(b) ,Individual Assistance Declaration Factors,"The Individual Assistance Declaration Factors were revised by FEMA in 2019 as part of the Sandy Recovery Improvement Act of 2019. It established six key factors for evaluating a governor's request for a major disaster declaration authorizing Individual Assistance. These factors include state fiscal capacity, uninsured losses, impacted population profile, community infrastructure impact, casualties, and disaster-related unemployment.",Individual Assistance Declaration Factors,Federal Emergency Management Agency,No triggering event - Capacity Building,N/A,Yes,Domestic,No,Other,Include,FEMA DOLR,3,3/21/2019,,CFR-2013-title44-vol1-sec206-48.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/eQdgi5YyTvLDfVwaulTq-g/F_3RwyA_Fz0nTT5mIhnTR6FAhI5ouGIQDbo05PTBloXk6YPyit1Ygl4hhxtSMvfwpf4nFv-fpECyYSs86_ohL12UrbPe0rhICX7hRN8poTcW-NIOrOcGvplTOKOF69qQ2LIR-HB8GGnTUWks7EUZRoZ5jIn35e9pTKbKy5rO28E6jHVIdEXQOQMYn1_5auvI/usM2sIAxWsdJcNs7nzpC-_WWPi2C5o3gXmkouWWIUGs),,https://www.govinfo.gov/content/pkg/CFR-2013-title44-vol1/pdf/CFR-2013-title44-vol1-sec206-48.pdf,,,,,,
"6 U.S.C § 314, 317",Domestic Security,This title establishes the Department of Homeland Security and its role to protect domestic security against threats by enacting emergency responses. It was created in response to 9/11. Main stakeholders include FEMA and DHS.,USC Title 6,"Department of Homeland Security,Federal Emergency Management Agency,Department of Transportation,Department of Health and Human Services","Natural Disaster,Act of War,Health Emergency,No triggering event - Capacity Building,Terrorism","In the event of an outbreak, Title 6 can invoke the mobilization of resources from public health agencies to ensure safety.
",No,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,3,7/30/1947,9/13/1982,USCODE-2015-title6.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/xIIXcPf_2HOHCJrVvWQMbA/ixIc-JtxJ2GkR73VvDfDl0czMBznht7BulcyuKgc9sS6iq9pOIokxuJBgmuccTtUNjC2JwomeHTAjCVHRQWw8EMlHaNXOqdIym5tnLNbJ_XxZmzckQI4qQuXNhnPPKWO5Vz5Sm0X--su0d-KRkxPkNqhZQY-_9KT45Jjc6xcXrI/VbeiFBSCR_tO3ytrAo6X5dceozWKc5sxXYCF_ksxbmw),,https://www.govinfo.gov/content/pkg/USCODE-2022-title6/pdf/USCODE-2022-title6-chap1-subchapV-sec317.pdf,,,,,,
SMG 1401.1,Delegation of Authority to Regional Administrators,"This document outlines the FDA's policies for emergency response, which is invoked during public health emergencies to provide structure and ensure safety.",Delegation of Authority to Regional Administrators,"Food and Drug Administration,Department of Health and Human Services","Health Emergency,No triggering event - Capacity Building",A significant public health threat can be catered to with this policy regarding immediate action.,No,Domestic,No,Other,Include,FEMA DOLR,3,1/20/2011,,SMG-1401.1--Policy-and-Procedures-Governing-Regulatory-and-Administrative-Delegations-of-Authority-(DOAs).pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/QLJXDzSIUZCZKkNd6L2jKg/ZkErdA3G0g7s3EjKzX8GisrkEQxJZknMlNYqfLX5qbwF8enVc7Ox7d8HZjQ5Pclbw52hdvB4a6zHp49QYgw8ORoK0jBtICNXFQ9i-uVs-XHa4L_x3ebNJA4u9qbhHJrIhEYOl32i-dq7ryazjbPRdZTr05cqV3PR5RQ3-qm5LMjz_v0CA1PsiyfmxrCbqjW4pIGUqsSFTEdRfK3urhNdz7cYvOvv2tmrMlansCSEysEOcnhylw-ez7ZwpmoZXGts4dEuMF-ndrtpQ-HQoNFolSdUXnjHYxu4GFB9MwYtNQ8/K3hx-2aELdHI4BkTC23kUOU_-Yzl1hurYPc0ESQY0gI),,https://www.fda.gov/media/79850/download,,,,,,
"2 C.F.R § 200, 215","Uniform administrative requirements, cost principles, and audit requirements for federal awards","These regulations explain the rules for federal grants, with the main actor being the OMB. It sets forth grant and cost principles for various entities.",CFR Title 2,Broadly applies to any relevant federal agency,No triggering event - Capacity Building,N/A,No,Domestic,No,Regulation,Exclude,FEMA DOLR,3,,1/1/2020,CFR-2020-title2-vol1.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Ndv-YGX_WlUzcNMVWKcUAw/Sk63tI1DNF-84fmy7mc_M2zFtLDhY451_bzGJUIlUbX_d1IJjJywxpUXwnGfWmS1aRFteb2cl_QdbghoCB4_S_kCa-byrdoUi_XlYLOA5u43QaxmVNmw-fslT3pa-4tK5BNnccAOCrBh8GjhSvYiIGoJ69dIjBw1W8_RSK2g0e8/UdZq1tQxHFgj60YTY5L_45mGQiPwtH1oxtO_IlYd3mw),"*no specific agency empowered
",https://www.govinfo.gov/content/pkg/CFR-2020-title2-vol1/pdf/CFR-2020-title2-vol1.pdf,,,,,,
121 STAT. 112 PUBLIC LAW 110–28,"US Troop Readiness, Veterans' Care, Katrina Recovery, and Iraq Accountability Appropriations Act","This act was establish to provide support and funding for military efforts, veterans' care, post-Hurricane Katrina reparations, and various measures for the Iraq War. Main stakeholders were branches of the US military, the VA, and FEMA.","""US Troop Readiness, Veterans' Care, Katrina Recovery, and Iraq Accountability Appropriations Act""","Department of Agriculture,Department of Justice,Department of Defense,Department of Energy,Department of State,Department of the Treasury,Department of Defense - Department of the Army,Department of Commerce,Department of the Interior,Department of Education,Department of Transportation,Department of Housing and Urban Development,Federal Emergency Management Agency,Department of Veterans Affairs,Department of Health and Human Services","Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building",The urgent need for healthcare services for veterans and the military could be catered to with this act as it can allocate appropriate funds.,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,5/5/2007,,PLAW-110publ28.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/OuUKOWHK9p8QOdt2BXImBQ/LHFq_yS0rOAdOA_EJu4vzUvejPiqUZ1nholTloBTTEc5tzgCV0oZDqiSmfn-6LW003q_2qfWwoUBUV7AbiP5UrG-kZAJknVh6iXAYwk9EqAAKd9vfXJgr9fuAfF3PFNFVwR6yBk0_PDqxeJ4bNvwRl3ls8nUFi14VlRdu7N_jhE/AC0GV5k6oiz5lJRRRs4RgFf45DN3ItI-5YsEUuNgPuQ),*Heather could you take a look at code number for this one?,https://www.congress.gov/110/plaws/publ28/PLAW-110publ28.pdf,,,,,,
48 U.S.C. § 1469a(d),Territories and Insular Possessions,"This document includes laws regarding US territories and their governmental structure, outlining their rights. ",USC Title 48 ,Department of the Interior,No triggering event - Capacity Building,N/A,No,Domestic,No,Legislation,Include,FEMA DOLR,3,3/12/1980,10/5/1984,USCODE-2009-title48-chap10-sec1469a.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/jQnOFzvvmHtg5bKMNkXi2Q/dMSvFr1fbJil99s3nyfYhxn579CofmpIFl0Eqy2YwHlpqD8nNVESeELh6IdmxXUvh4KWNn7b_xoDpzT5MjgBT1XvNy648HzunXLbsHzjQ61FPltD9n_7RVG20sGMNLWx93imbSwWuTPxqS7KbsC5HyHVLNQXJuwj-XErpo4Y4g8DmKG_w-aCCoI80uvvrYe2/wPZsplyUOps0IVk1mmYk-rcm2OxNe5iDyvY4Cpq210o),,https://www.govinfo.gov/content/pkg/USCODE-2009-title48/pdf/USCODE-2009-title48-chap10-sec1469a.pdf,,,,,,
50 U.S.C. §1601-1651,National Emergencies Act,"This act allows the President to declare national emergencies and coordinate federal responses accordingly. 
",National Emergencies Act,Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building",A health emergency of great magnitude can invoke the need for immediate federal action and regulation.,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,9/14/1976,,1669500.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/kW6jgO7pvc22Ihh8tOGIhQ/KmoaTPj3NqwUScvZsj2urZD3HpaOe-tOasGXCBTGbB_oYbjpxSqE8tK5b9KQ5fjbztMza1bXvsLP5c15i7m7e3hkgRfrMGE8gE3_dkm6CUiC9DBRuAwXNZV0H164g3wN6yEsf5I7xYLSowhYrsckv96LXM2GNF4Vz_ifTIo0200/b9TZGPDrH5nTsxFneRgOpsGPfqcCWlNgMwYt_Fo28N8),,https://www.fordlibrarymuseum.gov/library/document/0055/1669500.pdf,,,,,,
42 U.S.C. §§ 4151- 4157,Architectural Barriers Act of 1968,,Architectural Barriers Act of 1968,Access Board,,,,,,Legislation,Exclude,FEMA DOLR,2,8/12/1968,11/2/1994,COMPS-10651.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/ZpjOUwp14v25kJYif1Hk_Q/GUhy1QnjUupdjl2HjjJ51uFmlr6iyED2X50m5g6PzFmgRD4yZqmHzj-bSvJokhrm2pRKVnZPQ46dsr8Se4BWdgc7Oi1iflVoYQf4UglUsMqeYRKSRJZ37C5dCD8tv44P_8NQjCPaH2uq994nE81xDA/KtuqM2Nk5J1bX5SKXWzngoKHfTKkGVI-WIPHpNexfhY),"Footnotes
",https://www.govinfo.gov/content/pkg/COMPS-10651/pdf/COMPS-10651.pdf,,,,,,
6 U.S. Code § 313,Federal Emergency Management Agency,"The 6 U.S. Code § 313 officially establishes the Federal Emergency Management Agency (FEMA) under the Department of Homeland Security. FEMA was codified to coordinate the official federal response to disasters and emergencies. 6 U.S. Code § 313 was triggered by the need for efficient disaster response and management, and involves stakeholders such as the President, FEMA, state, and local governments. Actions taken can include mobilizing resources, providing disaster relief, and coordinating recovery efforts during and after emergencies.",Federal Emergency Management Agency,Federal Emergency Management Agency,No triggering event - Capacity Building,"""develop a Federal response capability that, when necessary and appropriate, can act effectively and rapidly to deliver assistance essential to saving lives or protecting or preserving property or public health and safety in a natural disaster, act of terrorism, or other man-made disaster""",Yes,Domestic,Unclear,Legislation,Include,FEMA DOLR,2,10/4/2006,7/13/2021,USCODE-2020-title6-chap1-subchapV-sec313 (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/v08gpTtHzr0CSzUjUE0oMg/fqa9-iWZiJxVurw0zGRvcyi2yen-iWHZovi7Pp1hI9DveKpKgAqDU8HM5C4jnMd87UrNa0ro_2xFks5Flmu2l3so00Cup2jRmRzq1mhHrqBljvTwbRpEB3jkT9Pv8DjHzUgF5ca2nJS5b5a5BgYMAA/kCpN3Xjb6799ikSo5ZhDrAZU9mBST-gghErMR8Pwfs8),"Footnotes
The military is involved but unclear how Posse Commitatus relates",https://www.govinfo.gov/app/details/USCODE-2020-title6/USCODE-2020-title6-chap1-subchapV-sec313,,,,,,
31 U.S.C. §1301,Sec. 1301. Application,,31 U.S.C. 1301 - Application,"Government Accountability Office,Executive Office of the President of the United States - Office of Management and Budget",,,,,,Legislation,,FEMA DOLR,2,9/13/1982,2/15/2019,31_USC_1301.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/qT-kheNoBzlgvgVEFQ26yg/i6cxq0CQeC3amY2fgm9JtB-M5dJN3MoOoCT-UfnAjizMPhAokFpWNiOitLKfNanQ7oSvQeuRRuNRiziL8qF38MC0dvUrnl3NKD9BVehRvJHtK-DEz8UOitA77Su7pptvwTCdGANUbqBSynxthe3uhQ/aBYFOMhCpgU6iiMb0hYDaUNgFN8IQ2kWWn2zQx1pD1A),"Footnotes
FLAGGING THIS BECAUSE DIFFICULTY IDENTIFYING AGENCY EMPOWERED
",https://policy.defense.gov/portals/11/Documents/hdasa/references/31_USC_1301.pdf,,,,,,
31 U.S.C. §1553 ,Availability of appropriation accounts to pay obligations,,Availability of appropriation accounts to pay obligations,Government Accountability Office,,,,,,Legislation,,FEMA DOLR,2,9/13/1982,1/5/2023,USCODE-2010-title31-subtitleII-chap15-subchapIV-sec1553.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/6lcXVhABlQQ5C0Bf7gykzA/YxSRdQ3-P22r5V916YOBNNn7Ak0itwJxGGWdoTLB3mYP9HFTdOFz670B6zdvPNOfhbIA8H8FXnv4Mln-FpKCTJTiWYcsy9kl57OodCfsmwj6tG3HGmwEE1s0X34eoA2_I40fi851EdRh7ysU3jX2IQ/8np1OtSSsOfa3uR3tWlW1yzZaxJcOzxQX_GtlVv26e0),"Footnotes
",https://www.govinfo.gov/app/details/USCODE-2022-title31/USCODE-2022-title31-subtitleII-chap15-subchapIV-sec1553/context,,,,,,
31 U.S.C. 1552 ,Procedure for appropriation accounts available for definite periods,,Procedure for appropriation accounts available for definite periods,"Government Accountability Office,Executive Office of the President of the United States - Office of Management and Budget",,,,,,Legislation,,FEMA DOLR,2,9/13/1982,1/5/2023,USCODE-2011-title31-subtitleII-chap15-subchapIV-sec1552.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/h-OetWGcVAVUhIUDChPQsQ/pUpjmVgjE4ySantgqCNbe8YoGey_2mA0QG7gi5ElEDCBabzlHQqir906S4Lz-wYDfsZhPe8Ol9piM0VWR5_sZ_r_hOWDrd3JHf56qHhNkAwhnOMGkU0DqdVW4_Xc0jzhIDx_JCLLbp-BkCwNGPedQA/gJa5-DWtDYok8p0EDeNCH9q_iIkoDg9b35k3T2x9WE8),Footnotes,https://www.govinfo.gov/app/details/USCODE-2010-title31/USCODE-2010-title31-subtitleII-chap15-subchapIV-sec1552,,,,,,
31 U.S.C. 1502 , Balances available,,Balances available,"Government Accountability Office,Executive Office of the President of the United States - Office of Management and Budget",,,,,,Legislation,,FEMA DOLR,2,9/13/1982,1/5/2023,USCODE-2022-title31-subtitleII-chap15-subchapII.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/n3M3qmCVoQ5ocfge-IwIGw/ZI6VWzeoBiT31Mh1-Iku1udhaPgUeBd6A7MACgKdNc6PwR4146GxQ11ciC4Se1vqhQ4JwjEp1fGCtOsNHKXt7xBEgZdTMnOVXufZpPxZ58GJPsu0Pb_4mx8CiH8SnSnKbhKrdi8D1L2BWocf4Me9-w/_90smCsPk45HWyH5xSZGKNSP-Ay5js3UXACU86gsVRw),"Footnotes
",https://www.govinfo.gov/app/details/USCODE-2022-title31/USCODE-2022-title31-subtitleII-chap15-subchapI-sec1502,,,,,,
41 U.S.C. § 3902,Severable services contracts for periods crossing fiscal years,,Severable services contracts for periods crossing fiscal years,"Department of Defense,National Aeronautics and Space Administration,Executive Office of the President of the United States - Office of Management and Budget,General Services Administration",,,,,,Legislation,,FEMA DOLR,2,1/4/2011,1/5/2023,USCODE-2010-title41-subtitleI-divsnC-chap39-sec3902.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/uZxVJHXIAOBRL58AXaDjFg/Z6wiz3CI9E9uxOkPHvkA-gDGKUSmer0ealjAleuOIOb7QvopoLH9n4XFXBckMal4F7VNOVMrqXnoIjw7cQltmdnL8AfdDXJei6cMpIwV4Ma9HX0DYrn6_F0n2V_Z9ESsnr69hbkZgRhMPfg5yN5AXA/LMxx0yllJGzWn53aCVeGorq2yoM57KH71HD5g5bkVN8),"Footnotes
",https://www.govinfo.gov/app/details/USCODE-2022-title41/USCODE-2022-title41-subtitleI-divsnC-chap39-sec3902,,,,,,
31 U.S.C. § 3302(b),Custodians of Money,,Custodians of money,Department of the Treasury,,,,,,Legislation,,FEMA DOLR,2,9/13/1982,1/5/2023,USCODE-2022-title31-subtitleIII-chap33-subchapI-sec3302.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/hcILB6yT9D-pCY2n75IhZg/4BcFMApWVpUZFHd_EGF4OhRmtu4Xfb21RGowxBnVMnHjT8h5Si4RhBBcbO01VWYUtr60eHstCD7rDGj4eeCos3pjHWdtMlDlKS8gMI2o73mFunrDCOePwp4KLg47RP4SWKDpwWXuVKxuUhP1ibRwoQ/IPCka9VlYhLAJpWgdrbL3LnwTUdqHtKUi7FN-B3YA0M),"Footnotes
",https://www.law.cornell.edu/uscode/text/31/3302,,,,,,
31 U.S. Code § 1535,Agency agreements,,Agency agreements,"Government Accountability Office,Executive Office of the President of the United States - Office of Management and Budget",,,,,,Legislation,Include,FEMA DOLR,2,9/13/1982,1/5/2023,31_USC_1535.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/5EUJ83DQ3biPOd6Cudq30Q/IcFbtExU8fQ5x2SuA8Yd6bgi15vSmm_g1svNG377GcHVyvSiBnMAPrZ8xU35wVfXYuyI9cI1zuKOm_ZuEDIJUaUX3aqtAvOCUYahQTMAUmTdYkZnpWSOtYR8QTzdV98OXOkaF5qT3jwthzf5-aAsDg/qpUnRRbDiv-Oi-MamZOfu-g4bLWrGlK39kf-SeBzABI),"Footnotes
",https://policy.defense.gov/portals/11/Documents/hdasa/references/31_USC_1535.pdf,,,,,,
42 U.S.C. 5170a,General Federal assistance,,General Federal assistance,"Federal Emergency Management Agency,Department of Homeland Security",,,,,,Legislation,Include,FEMA DOLR,2,11/23/1988,,USCODE-2022-title42-chap68-subchapIV-sec5170a.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/cyaDCStgu7QIjLtmtDAWWA/cPIbKmESQBHQjrT2kJhoO74shigBDq8Xxvtuft2NEjNRctU7fHdd69GXIjEOQmy3aRON3cLM25InB8BB0YPEK3z9_wj8Hl2i3BiPe3-VfggUOFXSWvvmGU2SICmXc0PKg6ZDYgU512zMLEMcQR9-Mg/rwVJRiBK9-RBBCK37hJR9WSrG_Ax-UYnpQ3qEORgB5g),"Footnotes
",https://www.law.cornell.edu/uscode/text/42/5170a,,,,,,
42 U.S.C. § 5197(d),Administrative authority,,Administrative authority,"Federal Emergency Management Agency,Department of Homeland Security",,,,,,Legislation,Include,FEMA DOLR,2,11/23/1988,,USCODE-2022-title42-chap68-subchapIV-B-partB-sec5197.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/raUd_4qSJnSdrDHz1i_PDw/0OmLNS0jSVQk1DXqsD8T6JxVNbZ11N73SET0IQNEIQaPS6OO8w0XOX1wb1obZr_wL6fgWfsb0QP9jsyCkJsji5oPu_0AlD9vfDlMfpvVj2jPvxTjqNkIvvq-MRr-3AAGRdqheeWQL2PCO0qdKk4ISg/rIQBHR44l1iwOJA9NHqqW1TsSEkO0jUaCfRFXmW0qbk),"Footnotes
",https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap68-subchapIV-B-partB-sec5197.pdf,,,,,,
40 U.S.C. 503,Exchange or sale of similar items,,Exchange or sale of similar items,General Services Administration,,,,,,Legislation,,FEMA DOLR,2,6/30/1949,1/5/2023,USCODE-2022-title40-subtitleI-chap5-subchapI-sec503.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/RWCcNjyGGfuF0_hM2LJGcw/0P2q4pmPrbihkCq8iYfra-nNbOv7WLN0mJxQSRbxp0MaM_RKWsUeNzNluvRSNd_zgF_FEd3OXwBYEFljo8vGoGJOhq2jVX_PTh6wBW6s3yXgUgsj7djy6ai58dpvi45w3MbiKJc5nbrHQrXKlg27uA/yT0w4kc53uFe98sTKaEVwFOI8N5sqmFcfIP8Zwy9jkU),"Footnotes
",https://www.govinfo.gov/app/details/USCODE-2022-title40/USCODE-2022-title40-subtitleI-chap5-subchapI-sec503,,,,,,
40 U.S.C. § 571,General Rules for Deposit and Use of Proceeds,,General rules for deposit and use of proceeds,General Services Administration,,,,,,Legislation,,FEMA DOLR,2,6/30/1949,1/5/2023,11a_05_Feb12.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/bOp26uYA6GnDlFKjsdulgA/Bv69yJ_dPra33TXTnZzTbFwgINVfHbekjH5ztHqIKjLOWGYYPOU_FjnJHWLY_GhGJjSQ2teoZPvCxRiROUL_7421y8_xdw7e6fgTWivHsGx48D5i04vHJh0gePvO4-VYuVzBtPaRdQZggAU8ZlyQ0Q/wJJz_RAZHmLJVHiFJndT5A2KiEeueLsUodRWwfeP0KU),"Footnotes
",https://www.govinfo.gov/app/details/USCODE-2007-title40/USCODE-2007-title40-subtitleI-chap5-subchapIV-sec571,,,,,,
Homeland Security Presidential Directive 5,,"This directive was issued to improve response to domestic incidents by establishing a management system. The main actor is the DHS. It acts to ensure effective response to various types of emergencies in the US.
",Homeland Security Presidential Directive 5,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Act of War,No triggering event - Capacity Building,Health Emergency",The national incident management system established by this act may be used in the event of a public health emergency to coordinate a comprehensive response between agencies.,No,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,FEMA DOLR,4,2/28/2003,,PPP-2003-book1-doc-pg229.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/qlS5n6aGeUcl0ndhSVSSyg/C63ecvUDdtd8eOw479Xvur9kXtc-2-Smg-Z9mV2UthonP-bIMFm5yguDwEE6MxMRUrqBXAOr61o9vbv0xGuN2gDDaVvFApJlqP9qfMYwTmoGZMsnYGPd7TpRRRDmhyJ8UvILQpBmU8CCTWDwUZZFYy8ZH2EKiSw0uEiFntMf7DR1AfTfuOTd3C_MLGdrZFeV/EBUU3FPBVZYUyByJOsrlVzBac3asPllWAgbuTKrZ9WQ),,https://www.govinfo.gov/content/pkg/PPP-2003-book1/pdf/PPP-2003-book1-doc-pg229.pdf,,,,,,
