Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Plans & Strategies
Executive Order 13618,,This EO assigns responsibilities to various departments to ensure a coordinated response in national security and emergency preparedness (NS/EP) situations. ,Executive Order 13618,"Department of State,Department of Defense,Department of Justice,Department of Commerce,Department of Homeland Security,Federal Communications Commission,General Services Administration",No triggering event - Capacity Building,N/A,"Mission Assignment/Response Coordination,Response Leadership",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,7/6/2012,,eo-13618.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/O-RZyzJSMmBGPlFggrAHjA/GIdu0484rcIrMeK-s4z_FmLAHmvHwdNEPz9H6SQ25GLUIsuFnVxgak1CfxDLIv30IaCGWF4C6R-YRgfPFuY-1SApUJxlkocwNPXLC9zox_vml9f_BBn4ox5uiNJGdgx_XgdKHEDRrR6Te17MWB3AQ8zsxL7i-f8t8NvX8uhMRO4/VdUzAmt950SQuQWJOuPAniJlwZFQmoq3Goi0SmNFH1U),,https://irp.fas.org/offdocs/eo/eo-13618.pdf,
Executive Order 13909,,This EO invokes the Defense Production Act to allocate medical resources and ensure that necessary supplies are meeting the needs of the healthcare system. The goal is to support the national pandemic response.,Executive Order 13909,Department of Health and Human Services,Health Emergency,COVID-19 pandemic,"Provision of Supplies,Defense Production Act",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,3/18/2020,,eo-13909.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/IccJiIovBexjPHBKP7Qo3g/7fycQQ6wReHZzwoJIf0FvXRaB7uojRqhA7n8F6dtJl60JEsyig5YbuebZCgc8fVKOloOcOgT5NniiFwdPizdmaNm7eRc0FGaR9gQys7XRmm4wM2jOpYVw0a2fM9Nnk48BA40oGooUVacOYBqTpmIKxiCoQWTNITGu3HacR3CpYw/lHtA-toUnQvkKYIrIEycFqIwGLN1Iqu80Y_8wD-BerM),,https://irp.fas.org/offdocs/eo/eo-13909.pdf,
Executive Order 13910,,This EO makes hoarding and price gouging medical resources needed to respond to COVID-19 illegal.,Executive Order 13910,"Department of Health and Human Services,Department of Justice",Health Emergency,COVID-19 pandemic,Regulations on Interstate or Foreign Commerce,Not applicable,Domestic,No,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,3/23/2020,,eo-13910.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/CM359N-pAo-pNDgl2aW7eA/Fnl1-T_44YkTVVADZySjHGE-ACOsbf7UcgxdOIUWtSEZ-yGw_yBP4vqejRe8DXk7uEdTapw3hhv08FDCLwcPbP5lMTSwZzZxRTqJ_sHhO1PtxxMSE8V1bSC4cSpxt0v6DOBMrT72Z6HnVNi5TjFWtG5WM-tWDmlJqfcTvMSu-bI/6dUrLyxjerW-ED-hFj4NvTNpRDfmmM05rRBbLUWhJYg),,https://irp.fas.org/offdocs/eo/eo-13910.pdf,
Executive Order 13911,,This EO expands the government's ability to address COVID-19 under the DPA by empowering various departments to distribute resources and expand production of essential supplies.,Executive Order 13911,"Department of Homeland Security,Department of Health and Human Services",Health Emergency,COVID-19 pandemic,"Provision of Supplies,Defense Production Act",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,3/27/2020,,eo-13911.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/q6dXnnbIAP10uIKW3xMjTw/x2_nvdjMEE_5AGYGCsEreXX5SxIXlPN6v3g_4LdVN0yVsDHd7g9-Hdy0PElApHgLdc_x1nBRtOxPlaARWRaghqWQlLypvgmQN8obbrhG8_vOPbpEO3mafjiWBztqCglpMugtaHGD3hSvXfhUuFuWU9macBRghy_z03fCNqS6PEo/zAyzSwdJfRYfIgDuoRpoui3OwKm865oS_1_wYL8xU5k),,https://irp.fas.org/offdocs/eo/eo-13911.pdf,
Executive Order 13987,,This EO creates the position of Coordinator of the COVID-19 Response and Counselor to the President. It aims to ensure a widespread effort to limit the spread of COVID-19 by reducing response disparities and coordinating the distribution of supplies and vaccines.,Executive Order 13987,POTUS or Executive Office of the President of the United States,Health Emergency,COVID-19 pandemic,"Provision of Supplies,General Rules and Regulations",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,Scenario 2,Include,Executive Order,,1/20/2021,,eo-13987.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/bSNeivcP-npzAlMlX2HiUg/z642_y9qkx-MiAhxYnik4NZ5dJHU3mYQNYQMHzI4mo3K-uKfRWPti5oyGhT4ALPy1uz8mAXuzadOJzr9kQRjs-AkwEDJE5tTA2z_CK9_xPUE6TXDqc82hxiBgEj1VzCdbQMbwTRdMeG-ClLxNXR3X5zKEjXpUtxQXsTJ8ZMPJr4/xmdHqcyDxfY-iLbu3Sps5aXE8SNf58sDTPuUZoEFL_Y),,https://irp.fas.org/offdocs/eo/eo-13987.pdf,
Presidential Directive - 2020-17386,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to Florida.
",Presidential Directive 2020-17386,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes,Presidential Directive,Yes,Funded activities related to preventing and responding to COVID-19 in Florida,No,,Scenario 2,Include,Presidential Directive,,8/6/2020,,2020-17386.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/DMTVyovVhXMUTO3i7cGDFQ/CqtVUdx9RTW2pZlIMHLkhFSGzcY1_4zHczNaJPigHDyNxWSPW7SMF8oyvAKAgtvq8nymId96ul28uvvzRRUwEdV8wQxNSomMT5JbQi8MqFpDXbJHfB89QcZe_knypYyZh6NCsjrcx_vlxGfkJumZjXKoblspTooh_SjraBlGfTQ/_RE9NKBP21mFHYrwaDMjqiZVNC3czKwe8V6DQhYvt5s),,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17386.pdf,
Presidential Directive - 2020-17371,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to Texas.
",Presidential Directive 2020-17371,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes,Presidential Directive,Yes,Funded activities related to preventing and responding to COVID-19 in Texas,No,,Scenario 2,Include,Presidential Directive,,8/6/2020,,2020-17371.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/XOQ5667jZSDcSaIMqme6Ew/hutmlqjX59_UQFMWhLZVxxjuTgVdJfg4QH7O-HGgfcmw6scXdkzm97s08j43OJoTNOOmbs7GlZorzTfo5RWqZuiVPN41FUKKQdvWbC-VI6RQIXCNVjvhSu1wNMzNReXkv7rQaNyL_3qibd4nnQZlK6bJ6scTo2UXNeYlBPtJLBQ/R6wZOmg2wXjl22boMA0QEKmR3ON52k5RV6IWmyh5V44),,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17371.pdf,
Presidential Directive - 2020-17370,,"This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors, and funds activities related to preventing and responding the public health threat. This directive specifically extends power to: Alabama, Alaska, Arizona, California, Colorado, Connecticut,
Delaware, Georgia, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Missouri,
Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico,
New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah,
Vermont, Virginia, Washington, West Virginia, Wisconsin, and the territories
of Guam, Puerto Rico, and the U.S. Virgin Islands 
",Presidential Directive - 2020-17370,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes,Presidential Directive,Yes," Funded activities related to preventing and responding the public health threat. This directive specifically extends power to: Alabama, Alaska, Arizona, California, Colorado, Connecticut,Delaware, Georgia, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico,New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah,Vermont, Virginia, Washington, West Virginia, Wisconsin, and the territoriesof Guam, Puerto Rico, and the U.S. Virgin Islands ",No,,Scenario 2,Include,Presidential Directive,,8/6/2020,,2020-17370.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/J5Ae_wEiVExl_Jyg11gq2w/VBCI4FVW-R_f_K8mjNbwongCECwlwa196GFWjd0xae7b_XfJEJs4IYU8678hvaWZVOe7I6bzS7GQrLE7S8BVpACqYb3F2fr32BT6Ux1c7vO4zdh-FY7B7AYBvKJC1f3h8HQz5t9H2nCswCC2t_-968LbRMlTVFfA1PUR6yoFLwE/6slVvKMGidfK2AFTIVZdoUFuVdCs_qkS0tKYgMi3wM4),"has different termination dates depending on percent federal cost share termination
",https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17370.pdf,
Presidential Directive - 2020-17788,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Connecticut.,Presidential Directive - 2020-17788,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Yes,Domestic,Yes,Presidential Directive,Yes,Funds the National Guard by an additional 25% in CT,No,,Scenario 2,Include,Presidential Directive,,8/12/2020,,2020-17788.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/yqnP3A3iIpNMBMUf_fRpXg/-mW3s80BZeHQEUKh0NbHymnO0L_-CbomHIQBQJ-DyQi4iZZLLtFf4EQai40vAGGjjKq4bMVDcX2oQkUBUg3aNuCxj5DMSS6I20vmmn9avwOvM-Otm8hB8hrXcI4ApgtfDsS2dt0PA10g6Z46kooCeAmLE7v2BIjx5PMLD-d8xAA/59U0YwHNkZVoEPUEHT2FPGDH7gGDs5XvNo3RK05MBK0),,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17788.pdf,
Presidential Directive - 2020-17786,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of California.,Presidential Directive 2020-17786,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Yes,Domestic,Yes,Presidential Directive,Yes,Funds the National Guard by an additional 25% in CA,No,,Scenario 2,Include,Presidential Directive,,8/12/2020,,2020-17786.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/JxmBPytKhtgoAjNBEyt3Cw/cNMi-VRstjX4PHdxX1JUlsaF6WnA8oYzG9P9fGYu2Na8yff4jb314kMF9soeA-ALiE4LVbRDzELLkWSxe8p6nN5yBC-nurxhpADlC6eAnKf9e_0pZLjBByBamkHBU8H5RQ12Yg3vlK6rA6RwT2XWoCnJUw3LEYbkKhcKvuB3_T8/UpRcmVBdpuzvmDEUv6rNe9QldeWb3MrWvUgI67R3bcY),,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17786.pdf,
Presidential Directive - 2020-17784,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Arizona.,Presidential Directive - 2020-17784,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Yes,Domestic,Yes,Presidential Directive,Yes,Funds the National Guard by an extra 25% in AZ,No,,Scenario 2,Include,Presidential Directive,,8/12/2020,,2020-17784.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/-vBnXQve29PNA9b81RFP8A/xiphB-83YeCSeiRV6hFzouZKTDKhXSzS_kgvtXtgqWUnDLWTf4eG12bVK5XVcvjPM0k9VxINI9H8JUPjzClFpCwNlqcH0VG56Qnunzfnv69AeQnpFjoQ2cuWMx-KClzqtNFWICqE9m5SGxbOYvKZbKN0xW3F9rGfE1YhlpZVLpU/3t2Oz5zBz7CfZYU3kFK3xILMOOtw9D4Xv0axGxJMlu8),,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17784.pdf,
Presidential Directive - 2020-19599,,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Louisiana.,Presidential Directive - 2020-19599,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Yes,Domestic,Yes,Presidential Directive,Yes,Funded the National Guard by an extra 25% in LA,No,,Scenario 2,Include,Presidential Directive,,9/2/2020,,2020-19599.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/Vk0LfU999A-dA58F-n1Vig/xqDeCedCCDhVgfVeegbDFY_cm2-1QoMbveyQ813RBvYKiB2DxffXGXamO2Bw_TCPi5OVYqYjq_DMvV2l8jMk8e_yWOiGNv4YoaD5CTW75X0b-tkKB-I-U562HOV5L4a79aW9QwYgs9MJVjQ6R6POdJLUwaTeeJt5noYXeZWOAzg/4pRuLm6ocGOq7bI4DmU7CpOyMRBBCtwijUO3WJOxJYE),,https://www.govinfo.gov/content/pkg/FR-2020-09-02/pdf/2020-19599.pdf,
Presidential Directive - 2020-08958,,"This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to Alabama, Alaska, and Delaware. ",Presidential Directive 2020-08958,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Yes,Domestic,Yes,Presidential Directive,Yes,Extended cost share for National Guard in several states,No,,Scenario 2,Include,Presidential Directive,,4/24/2020,,2020-08958.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/G8_yCrWemu9MsCYky5T1dQ/-w54RaZZS4EHDBpRJWpIhWnpAt_JeC9ccpgQge96wDJdPoeU7SSCI0RWLBRLJnKYuF78Zh6tONM08wWlmczlfZTSSRHHtZO0bJL-JVaSOtCTOMFsqv-zNK0YR4nd4eFCMHIgJYWZubP_37qRkjv0bGwLoO1muGBGyea57L2JJj8/XAux-g0HiRtNhfhFhadBib6x91NMR8OgD6InpSl2yA8),,https://www.govinfo.gov/content/pkg/FR-2020-04-24/pdf/2020-08958.pdf,
Presidential Directive 2020-09540,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to North Dakota. ,Presidential Directive 2020-09540,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Yes,Domestic,Yes,Presidential Directive,Yes,Extended cost share for National Guard in North Dakota,No,,Scenario 2,Include,Presidential Directive,,5/1/2020,,2020-09540.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/SkhEFqhuJ1IzD8cGCpUZHQ/e2MnmtKxLN7dLgVus_hnpZgy8RtJMpveWL75WeczzeIB3LL14VtVRSBILgmgRvWyJ-DcXYP87SXwIntDbZIgVfBoQ4Dc9ZOv7tR5ln4DaTZEcaD6SozA90j_DV__WWEMQKEtj8ryPBUcgCy7aTr5NVHcx7epHXz8KvgJP-ylXLc/j7hX1KKgUu8jCGmUTJEYXCpOmwx1xsQbVjFUi7QDPzc),,https://www.govinfo.gov/content/pkg/FR-2020-05-01/pdf/2020-09540.pdf,
Presidential Directive 2020-10437,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to South Dakota. ,Presidential Directive 2020-10437,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Yes,Domestic,Yes,Presidential Directive,Yes,Extended federal support for National Guard response in South Dakota,No,,Scenario 2,Include,Presidential Directive,,5/13/2020,,2020-10437.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/7Vcjpnk0_8IqNFkDs6FgaA/Tlb0Pn4Mr4tDDSMoMOrKaKDRskdBTYRJbk1y6xD5Y80Vp2x23Yn4cCrCtto5gPq63Z9JwP37hwmL5tJlkWdjd-yjjCUoWQYCH96ClDypPyWUOZ0KX_hi6bVZy31ixjxyfNfttnTxKY3F_IiswtgVN2VbXdtsYkNZbW66R5VEGm4/VYPnXRKNFnkGQtYSpH7xsUH41oSbpeKfUS3eVKuQxns),,https://www.govinfo.gov/content/pkg/FR-2020-05-13/pdf/2020-10437.pdf,
Presidential Directive 2020-11427,,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to Utah. ,Presidential Directive 2020-11427,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,"COVID-19
","""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",Yes,Domestic,Yes,Presidential Directive,Yes,Extended federal support for National Guard response in Utah,No,,Scenario 2,Include,Presidential Directive,,5/26/2020,,2020-11427.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/lXwlSRaeAPbPSKiNPghprw/IPELgBHdcMbr5_U2qT1wMEOxf9cuDtpHU-2NcTabShQqaWeS9shWL-oXzv76T7nFmeYm6hlxGfWbsQwKoHldP553d0fzgvu6a9OZ0hath-Qqj2n0XcogC2sUo9T-QEntaIjQp9k7SCiR0MNVYbjVxTzE9I55xd1nWAKJmJdzCl8/rJ61J6PmAiXxZnOCIFu1pDBOfB8_4dcGzETsAmnpTRY),,https://www.govinfo.gov/content/pkg/FR-2020-05-26/pdf/2020-11427.pdf,
