Citation,Parent Statute,Document Description,File,Date Originally Published (from File),Date Last Updated (from File)
9 C.F.R. §§ 70–166,Interstate Transportation of Animals (Including Poultry) and Animal Products,Sets out requirements for transporting domestic animals across state lines,Title 9 CFR,,1/1/2012
9 C.F.R. §§ 301–381,"Food Safety and Inspection Service, Department of Agriculture",Sets out requirements for disposing and inspecting inedible products,Title 9 CFR,,1/1/2012
21 C.F.R. § 1240,Regulations Under Certain Other Acts Administered by the Food and Drug Administration,Control of Communicable Diseases,21 C.F.R. § 1240,2/6/1975,
42 C.F.R. §§ 70.1–70.18,Public Health Service Act,"Quarantine, Inspection, Licensing - Interstate Quarantine",42 C.F.R. 70,8/16/2000,3/21/2017
42 C.F.R. §§ 71.29–71.40,Public Health Service Act,Foreign Quarantine,42 C.F.R. 71 - Foreign Quarantine ,1/11/1985,8/1/2024
42 C.F.R. § 23,Public Health Service Act,Pertains to the assignment of National Health Service Corps personnel under Section 333 of the PHSA to provide health services in or to health manpower shortage areas as designated by 332 of the PHSA,42 C.F.R. 23 - National Health Service Corps,2/27/1980,5/27/2022
42 C.F.R § 5,Public Health Service Act,Designation of Health Professional(s) Shortage Areas,42 C.F.R 5 - Designation of Shortage Areas,11/17/1980,1/3/2017
42 C.F.R. § 10,Public Health Service Act,"Drug Pricing Program - Section 340B of the PHSA instructs the Secretary of Health and Human Services to enter into agreements with manufacturers of covered outpatient drugs under which the amount to be paid to manufacturers by certain statutorily-defined covered entities does not exceed the 340B ceiling price.

",42 CFR 10,1/5/2017,6/18/2024
42 C.F.R. § 12,Public Health Service Act,Telemedicine Flexibilities,Title 42 CFR,,8/1/2020
42 C.F.R. § 51b,Public Health Service Act,Project Grants for Preventative Health Services,41 CFR 51b,2/1/1983,1/3/2017
42 C.F.R. § 51c ,Public Health Service Act,Grants for Community Health Services,42 CFR 51c,12/3/1976,11/1/2021
42 C.F.R. § 56,Public Health Service Act,Grants for Migrant Health Services,52 CFR 56,11/26/1977,12/16/2020
48 C.F.R. § 18,Economy Act,Federal Acquisition Regulation - Emergency Acquisitions,FAR,4/1/1984,5/22/2024
48 C.F.R. §§ 218,Economy Act,Defense Federal Acquisition Regulation Supplement - Emergency Acquisitions ,DFARS,1/23/2006,8/15/2024
"Defense Federal Regulation Supplement - Procedures, Guidance, and Information ",Economy Act,"Defense Federal Regulation Supplement - Procedures, Guidance, & Information - Provides guidance for implementing DFARS",DFARS PGI ,1/23/2006,7/29/2024
42 C.F.R. § 136,Public Health Service Act,Indian Health,42 CFR 136,10/28/1999,5/30/2024
42 C.F.R. § 136a,Public Health Service Act ,Indian Health ,42 CFR 136a,5/17/2002,1/3/2017
42 C.F.R. § 100,Public Health Service Act,Vaccine Injury Compensation ,42 CFR 100 ,7/8/1995,1/3/2022
42 C.F.R. § 110 ,Public Health Service Act ,Countermeasures Injury Compensation Program,42 C.F.R. 110 ,10/15/2010,9/15/2021
42 C.F.R. § 124,Public Health Service Act,Medical Facility Construction and Modernization,42 CFR 124,12/9/1977,5/27/2022
42 C.F.R. §§ 457.1000-457.1015,Children's Health Insurance Program,CHIP - Allowable Waivers - General Provisions,42 CFR 457 ,1/11/2001,1/3/2017
38 U.S.C. § 1785,Veteran's Benefits,"Care and Services during certain disasters and emergencies - provides the VA with authorities to ""furnish hospital care and medical services to individuals responding to, involved in, or otherwise affected by that disaster or emergency.""; authority to regulate vested in Secretary of Veterans Affairs",38 U.S.C. 1785,11/7/2002,10/13/2010
42 U.S.C. § 247d-6b,Strategic National Stockpile and security countermeasure procurements,"Requires the Secretary of HHS, in collaboration with Assistant Secretary of ASPR, Director of CDS, and in collaboration with Homeland Security, to maintain stockpile of drugs, vaccines, and other biological products, medical devices and other supplies in such numbers, types, and amounts as are determined consistent with § 300hh-10 to be appropriate and practicable to protect from a bioterrorism attack or other public health emergency. ",42 247d-6b ,7/1/1944,12/29/2022
38 C.F.R. § 17.51,Veteran's Benefits ,"Emergency use of Department of Defense, Public Health Service, or other Federal Hospitals - limited to emergency circumstances if they do not have beds allocated to veterans",38 CFR 17.51 ,5/13/1996,1/3/2017
38 C.F.R. § 17.230,Veteran's Benefits ,"Contingency backup to the Department of defense during a period of national emergency - VA is authorized to furnish hospital care, nursing home care, and medical services to members of the Armed Services in active duty ",38 C.F.R. 17.230,2/14/1984,9/12/2014
28 C.F.R. § 549,"Judicial Administration - Bureau of Prisons, Department of Justice - Institutional Management",Regulations for Infectious Disease Management within federal prisons,28 C.F.R. 549,5/20/2005,1/3/2017
44 C.F.R. § 323 - Appendix 1,Stafford Act,List of Essential Survival Items in case of a nuclear attack - major attention should be given to insure the basic essentials in case of such an attack ,44 CFR 323 appendix,7/1/1980,1/3/2017
42 C.F.R. §§ 300-370,Federal Acquisition Regulations System,Health & Human Services Supplement - Federal Acquisition Regulations System,HHS FAR,11/18/2015,11/18/2015
5 C.F.R. § 230,Office of Personnel Management - Civil Service Regulations,Agency Authority to take personnel actions a national emergency ,5 CFR 230 ,9/21/1979,6/15/2004
47 C.F.R. § 0.381-387,Telecommunication - Federal Communications Commission ,Internet Openness - Delegations of Authority - National Security and Emergency Preparedness Delegations,47 C.F.R. § 0.381-387,11/29/2006,1/3/2017
34 U.S.C. §§ 50101–50112,Emergency Federal Law Enforcement Assistance Program ,"Assistance program that addresses law enforcement emergencies. If a law enforcement emergency arises, states may apply for assistance from the federal government. It helps alleviate costs, like overtime, incurred by law enforcement, in response to a law enforcement emergency situation. ",34 U.S.C. 510101,10/12/1984,11/2/2022
10 U.S.C. §§ 251–255,Insurrection Act,"Provides federal aid for state governments in cases of insurrection; allows the President to use the Armed Forces against ""unlawful obstructions"" and/or interferences with federal and state law; and allows the President to give proclamations to disperse. Includes Guam and the Virgin Islands as ""states""",10 U.S.C. ,3/3/1807,12/23/2016
49 U.S.C. § 46105(c),,"Empowers the Federal Aviation Administrator to ""prescribe regulations and issue orders immediately to meet"" an emergency. The FAA interprets this provision as providing authority to close airspace to, or redirect, a flight that may be transporting passengers with a quarantinable disease. ",,,
49 U.S.C. § 44905(b),,"Provides the Transportation Security Administration Assistant Secretary with the authority to cancel flights in an emergency situation, as well as to issue regulations or security directives without notice or comment. TSA interprets this to include the ability to prevent international flights from landing in the U.S. if the flight is transporting persons with quarantinable diseases. ",,,
49 U.S.C. § 20104(a)(1),,Provides the Federal Railroad Administration with the authority to order restrictions or prohibitions on railroad carriers in emergency situations.,,,
49 C.F.R. § 1,,Provides rules for the exercise of authority by the Department of Transportation ,,,
