Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
44 C.F.R. § 300,FEMA - Preparedness,Technical and Financial assistance for disaster preparedness,Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,Does not require emergency; part of emergency planning process,Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,§ 300.3 provides for financial assistance to states to develop Disaster Preparedness plans under the Disaster Preparedness Improvement Grant Program,No,"* § 300.2: Technical Assistance
* § 300.3: Financial Assistance","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 304,FEMA - Preparedness,Consolidated Grants to Insular Areas,Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,Insular areas can request grant-in-aid assistance for civil defense programs and disaster preparedness. ,Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,"Provides grant-in-aid programs for the Virgin Islands, Guam, American Samoa, and the Government of the Northern Mariana Islands to accomplish civil defense tasks in the course of disaster preparedness",No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 312,FEMA - Preparedness,"Use of Civil Defense Personnel, Materials, and Facilities for Natural Disaster Purposes",Title 44 of CFR,"Federal Emergency Management Agency,Department of Defense","Presidential Major Disaster Declaration,Presidential Emergency Declarations","Describes the conditions under which the military may be used in response to natural disasters, in such a way that does not detract from attack-related civil defense preparedness.","""Troop, Uniformed Service, or National Guard Deployment""",Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,No,,No,"* § 312.1: Purpose
* 312.3: Policy
* § 312.4: General
* § 312.5: Personnel
* § 312.6: Materials and facilities","Scenario 3d,Scenario 3a,Scenario 3b,Scenario 3c",
44 C.F.R. § 321,FEMA - Preparedness,Maintenance of the Mobilization Base,44 CFR 321 ,"Department of Defense,Department of Energy,Federal Emergency Management Agency,Department of Transportation - Maritime Administration",No triggering event - Capacity Building,"Requires a constant state of readiness, which will facilitate immediate use or conversion in times of emergency or attack, of facilities, machine tools, production equipment, and skilled workers necessary to produce wartime requirements. ",Military Readiness,Not applicable,Both,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,7/1/1980,1/3/2017,44 CFR Part 321 (up to date as of 9-10-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GVwHZTAJtKtQoxMs_xRYmA/WSRXZSNaZ4ygXq0xD_MT57_NcjhQpgmeR7oRHjpjqfdcNQf2gMyfFTetjbRXPS-bKlNV6i7xo27_oluR-EPqwhMtbgB7PjTuGCODu_8oreDcQCSaCBnKC2RtxcoJaPD0I8IsY0RajAddTD0Ei-YSfvxAQociwMYhUzfTtkOcCP86TO1KLJMaiFP5Vnc_RWn1/_NMH_b48vkHJ3AScsXHKbLHHEhAInx5GocswsglCFnA),,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-321,No,,No,"* § 321.2: Selection of the mobilization base
* § 321.4: Achieving production readiness
* § 321.5: Retention of Industrial Facilities ","Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 323,FEMA - Preparedness,Guidance on Priority Use of Resources in Immediate Post Attack Period,44 CFR 323,"Federal Emergency Management Agency,Department of Defense","Act of War,Terrorism,Presidential Major Disaster Declaration","Requires a nuclear attack on the United States
","""Troop, Uniformed Service, or National Guard Deployment"",Provision of Supplies",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,7/1/1980,1/3/2017,44 CFR Part 323 (up to date as of 9-10-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/X6h3sIsLW9wCdUy22GkApQ/AFWV331mM1818xdjkjbnIKgnSdMf-wS2y_kNVRyW0MGzu7Oyjkm-0y5k1eBRwsZdm160XBnIzQifHxC_jkds1d48KSQc_i1Vo0HOv5y27f9SdXQ38vsF-N9HXKc3tVXSJ3vgZ9E6BC6a3N-oepRJXMmoef8pSv3kfFbRJ1q-Qvi8Dj2Chr06dCJsuLUOqlUV/SZd6ZZeEvmrw4kwRd2EZKmTwtCvczGB_hZbIT_Hn2OQ),,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-323,No,,Yes,"* § 323.2: General policy (resources will be directed to the objective of national survival and recovery) 
* § 323.4: Priority activities in immediate post attack period
* § 323.3 Responsibilities 
* § 323.5: Assignment of Resources","Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 327,FEMA - Preparedness,Policy on Use of Government-Owned Industrial Plant Equipment by Private Industry - Outlines when private industry may be relied upon for the production of emergency preparedness supplies,44 CFR 327,"Federal Emergency Management Agency,Department of Defense",No triggering event - Capacity Building,Part of emergency preparedness efforts,"Provision of Supplies,Military Readiness",Not applicable,Domestic,No,Regulation,Include,eCFR,,7/1/1980,1/3/2017,44 CFR Part 327 (up to date as of 9-10-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/ugdwF6eYNDON06ZI7DfqCQ/m_3yRNoxW0cCrcXUEbrrBv27k5G2B525PH1o8TytSHj7cwdvtfzMu6FTyI0c1mGHG2ilRSGWfBLxpJkkbUwhqcTiQObbER24W4VfJHfxRfGOvvfdQp3I3Ky_cY3Aq0en61dkSRLKV9fBLFbLTROmi9qeGAdyLvp5SjIW_ayMwH5Wv-HtdGuwS48lTY6aqXW_/DTf5iV5RIaw76fFRk-vWh6PSxoRLDGGcIEJYp2t170c),,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-327,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 361,FEMA - Preparednesss,National Earthquake Hazards Reduction Assistance Program,Title 44 of CFR,Federal Emergency Management Agency,No triggering event - Capacity Building,Intended to mitigate the ill-effects of earthquakes; part of emergency preparedness,Financial Assistance to states or Tribal Nations,Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,eCFR,,1/3/2017,3/22/2024,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/GnyuCSQ_6MbchJwaiF-7sg/Ka4lTbTsAt5XZsywhUhiuLNrwVjISjqZYEmIxvox9JTOADXjWWrIrFdvZo2IIMI8KoOy5nOyVXwzOrNWevy4pFTeOvpYUnXfd1rDvGN1DoTm8XS4op23-lsiC48ZnhGBG1GGQoDhaNEK_Af_-LQRWo1OxUhqtKCEacEbxj4DwcdiEDYWAZmAqNj9P8ZoADtj/yO-Y0IfKjrGfY2rRtosjqAgnRw1aIpOnQhh6VIkzcXo),,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,Yes,Provides financial and technical assistance to states for preparedness/response planning for seismic hazard areas,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. Part 204,FMAG Program,"This part outlines the Fire Management Assistance Grant Program under FEMA. This program provides federal assistance to states, local governments, and tribes for mitigation and management of fires. It outlines eligibility, grant types, applications, and fire cost thresholds. ",FMAG Program,Federal Emergency Management Agency,No triggering event - Capacity Building,N/A,"Federal-State Coordination,Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response",Yes,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,5,11/14/2001,10/1/2023,CFR-2023-title44-vol1-part204.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/Lho6bRegT7YDMGsf2USzeQ/pJRaGgkH4gqc1QjryNhIT7ynTqUIGsxAwdt793V6KLzmU6uufJCQjkupucEJ54JljMtCUSX6aoVxmRXOP0w2mEt9u1UA2XaUokp89oii5OZ-6mnoi9_HfsF3ggTGcLXNPllDUi2W0tCQpVbxOO1ccA/bR_bsRv136ezqcv5Z3a9vCXui_vVaq30Xuc0QExjP8E),,https://www.govinfo.gov/app/details/CFR-2023-title44-vol1/CFR-2023-title44-vol1-part204,Yes,Grant program for FMAG,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
9 C.F.R. §§ 301–381,"Food Safety and Inspection Service, Department of Agriculture",Sets out requirements for disposing and inspecting inedible products,Title 9 CFR,Department of Agriculture,No triggering event - Capacity Building,Part of emergency preparedness and public health preservation,"Health and Safety Regulations,Health Surveillance",Not applicable,Both,No,Regulation,Include,eCFR,,,1/1/2012,CFR-2012-title9-vol2.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/thGqowvkLvPDkw0m63GS4Q/-9jDZ7Hp-fziAfiwzQt9skQdDfDZ1iy-y7e4-bGuWbOnyXy-fgaZZqNpUKiZnfAkRH8c4ndgi7fslum_GI5MFZADB8YZIIslDltsK7v1J5wiVRgx2FlhIMNB2YoUGRKjFibWRTGCrdr_7V2YWh-KF7hScpkNOnhjmKCWA4_fisg/omje6dtYCZLZJ9-D_KINzvCEBoVwwkCbHe64bjk7j48),,https://www.govinfo.gov/content/pkg/CFR-2012-title9-vol2/pdf/CFR-2012-title9-vol2.pdf,No,,No,"* § 311 - Disposal of Diseased or Otherwise Adulterated Carcasses and Parts
* § 321 - Cooperation with States and Territories ","Scenario 1,Scenario 2,Scenario 3a,Scenario 3c,Scenario 3b",
42 U.S.C. 5170a,General Federal assistance,"Under 42 U.S.C. 5170a, the President is authorized to direct any federal agency to utilize its resources to support state and local emergency assistance efforts in areas affected by a major disaster. This provision allows for a wide range of federal assistance, including personnel, equipment, supplies, facilities, and managerial, technical, and advisory services to support state and local governments in their disaster response and recovery efforts.
",General Federal assistance,"Federal Emergency Management Agency,Department of Homeland Security",Presidential Major Disaster Declaration,"An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Mission Assignment/Response Coordination,Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,2,11/23/1988,,USCODE-2022-title42-chap68-subchapIV-sec5170a.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/lXR7HmXCXmnaQD9mpVqDKg/6TDOxq45xLPnpnfWsz29QtWReXpDOsXC3jFvHARj67dPQhzntkb7I9Y4fHcomTmh8yvTWhS2uwnHMhCiuX7PiI49VHWyrGIAVMPgnuy39mvFHOAVKImZM866xjywlmD77NVaoMFk1tdS1rMV9qg66A/5tsZwwsDO3i52UOzxXTdjfsEjWyh02HSmziNB1x1ef0),"Footnotes
",https://www.law.cornell.edu/uscode/text/42/5170a,Yes,May require expenditures by agencies with or without reimbursement,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 C.F.R. §§ 510–512,Health Care Infrastructure and Model Programs - Comprehensive Care for Joint Replacement Model,Provides modifications to the net payment reconciliation amount (NPRA) in times of major disaster,Title 42 CFR,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Waiver,When Stafford is trigger,Domestic,No,Regulation,Include,eCFR,,,8/1/2020,CFR-2020-title42-vol1.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/oOeLtEnQQWFepAL7A_jrSQ/nXz3HD3WyGFegHlRaInSWgZXIAcv_UxSfsyTAy-LGNWqJfaGcK8BwD8-tvyd9BJbMngDyWAS036u_iXmF27Ypxl7hcD6OGapk_fWNpac1uk5T93QOaNfzdVPIerBdG76oZxFMaL14bWqadP_cTZ4pC9myImY-aFAh2f-APYodRU/tHGdF0zyAFlabbgChMnul5zndCKgfdoAhNRTqKbZ_Mo),,https://www.govinfo.gov/content/pkg/CFR-2020-title42-vol1/pdf/CFR-2020-title42-vol1.pdf,Yes,Pertains to Medicare repayment reconciliation amounts,Yes,"* § 510.305 - Determination of the NPRA and reconciliation process
* § 512.294 -  Radiation Oncology Model and End Stage Renal Disease Treatment Choices Model - Extreme and Uncontrollable Circumstances","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
42 U.S.C. § 17903,Health Information Technology - Study and Reports,Requires HHS to submit annually a report that describes the actions taken by the USFG and private entities to facilitate the adoption of a nationwide system for the electronic use and exchange of health information; describes barriers to adoption of such a system; and contains recommendations to achieve full implementation of this system. ,42 U.S.C. 17903,Department of Health and Human Services,No triggering event - Capacity Building,,Research and Development,Not applicable,Domestic,No,Legislation,Include,PNNL,,2/17/2009,2/17/2009,USCODE-2022-title42-chap156-subchapI-sec17903.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/aYPNUfRHxCCbw-MVlru-Gw/TG4I_JS8gGhNexTzKZdZGZkTx3dtVFudP0kZtCE0S0mCncX13iT0AKDv6HDBKGqX250YOxlbMpqzoUrpArZ3PhNF8zfZ_HIUs5cC1XdRhIeTaS2AfUxhIUFWbU3BqAjwZa0krDbwVxpNi4QNM6aFhQ9OTK1h751CsI_0PhawbIrR9JZk1ExgPs1tBaQPNADfUgKU8oYvICo_uZfUPDM4iQ/8YoQmch3IFohurmXjGr9GIFqd0xOxZv6Ln1PR9gIwQs),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap156-subchapI-sec17903.pdf,Yes,Appropriates funds for the creation and maintenance of an annual report on this system/process.,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
6 U.S.C. §§ 101-1405,Homeland Security Act,"The Homeland Security Act consolidated various federal agencies into the Department of Homeland Security to protect the United States against terrorist attacks and other threats. Triggering events include threats or acts of terrorism (such as 9/11), natural disasters, and other emergencies. The act empowers DHS, amongst other agencies, to coordinate national security efforts, manage emergency response, and enhance border security. ",Homeland Security Act,Department of Homeland Security,"Terrorism,Health Emergency,Natural Disaster","""With respect to civilian human health-related research and development activities relating to countermeasures for chemical, biological, radiological, and nuclear and
other emerging terrorist threats carried out by the Department of
Health and Human Services (including the Public Health Service),
the Secretary of Health and Human Services shall set priorities,
goals, objectives, and policies and develop a coordinated strategy
for such activities in collaboration with the Secretary of Homeland
Security to ensure consistency with the national policy and strategic plan developed pursuant to section 302(2)""","Strategies and General Preparedness Efforts,Military Readiness",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,2,11/25/2002,,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/Z-LJL3vbIsgAD_C4SR3j_g/VPKzcGtCdC0hTxAlC3xjnJkyGEQ_H7Zh5q6dsbCylTzfJvU3qln8UK7B-Z09N0pJUpuBAfgkQxx0eicJMjrTQGBYQIspYM2GrF5krsSfDJfIuurd0CLDWIh_RO6pOTQjtS3mCCJP6n-SZx6Ol0mgtR7h9v930zqoYchE-aGbelU/j-jqgE_7w8-j0y9WvtLS3IKm8xOTljrgZHs1MX0nxB8),,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,Yes,Creates appropriation streams to DHS,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
44 C.F.R. § 206.48(b) ,Individual Assistance Declaration Factors,"The Individual Assistance Declaration Factors were revised by FEMA in 2019 as part of the Sandy Recovery Improvement Act of 2019. It established six key factors for evaluating a governor's request for a major disaster declaration authorizing Individual Assistance. These factors include state fiscal capacity, uninsured losses, impacted population profile, community infrastructure impact, casualties, and disaster-related unemployment.",Individual Assistance Declaration Factors,Federal Emergency Management Agency,"Health Emergency,Natural Disaster,Terrorism,Act of War,Potential Public Health Emergency","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Emergency Declaration,Yes,Domestic,Yes - Subject to Posse Comitatus,Other,Include,FEMA DOLR,3,3/21/2019,,CFR-2013-title44-vol1-sec206-48.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/BRkZiIBpHo-Ce2VG-aJEJw/zEvt4hz6VWhEFP1u87DUkKNq8P3LecXxXjtRwr89cahd1Fx5UifpfTo9Q6eQlvOfMT0QX1JW2xoYA8cH-bpGB-ls3xPey7B0oYPRWsTVN4khKS_Y5kjfkgn5TuK77AAN1Cei2VJf16II8AWKmfxlPJ3OFr6EMdfyZhMG-HQGSJHmWlFegsjBj3jfqNywxzOT/3rjVMnXrojaAsLWy1rxDknyLxVkZb_xtY7uWtmFvr2w),,https://www.govinfo.gov/content/pkg/CFR-2013-title44-vol1/pdf/CFR-2013-title44-vol1-sec206-48.pdf,Yes,Allows funds to be given upon emergency declaration for individual assistance,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. §§ 251–255,Insurrection Act,"Provides federal aid for state governments in cases of insurrection; allows the President to use the Armed Forces against ""unlawful obstructions"" and/or interferences with federal and state law; and allows the President to give proclamations to disperse. Includes Guam and the Virgin Islands as ""states""",10 U.S.C. ,POTUS or Executive Office of the President of the United States,Insurrection,"Requires insurrection, obstruction, or unlawful interference with federal laws.","""Troop, Uniformed Service, or National Guard Deployment"",Financial Assistance to states or Tribal Nations,Executive Power(s) over states",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,,,3/3/1807,12/23/2016,USCODE-2011-title10.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/ihmUWivBkBF2XR7uMaFwCA/C-K5gz1jrMZqUgGHOEK1vJhkazEdeXeg3fA7Cb-ZPBPjiw6JQ-aj24y_fnX-gQlqpJQ2jGmG0NF0pLxdqZQt1vTHkKkREnRIWx18EcHhFO761FBTOSOXFQ0ksC2k4Ftw_UZqxnvU6Woc4oK8Lw8-9ZupF-sUdkMY5JLYV5DpVKo/sWYt9lny62yDTc9NVYek7NRkheQIG_5-I4hLGkErP0Q),,https://www.govinfo.gov/content/pkg/USCODE-2011-title10/pdf/USCODE-2011-title10.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
